name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
R Dravid,INDIA,31,28,2,1025,104,39.42,1367,74.98,1,10,2,2004
JM Bairstow,ENG,22,22,0,1025,139,46.59,867,118.22,4,2,1,2018
V Sehwag,INDIA,33,33,1,1017,108,31.78,948,107.27,1,3,0,2005
SR Watson,AUS,24,24,4,1013,136*,50.65,1199,84.48,3,3,4,2009
SR Tendulkar,INDIA,39,36,3,1011,117,30.63,1190,84.95,2,5,2,1997
WU Tharanga,SL,25,25,4,1011,119,48.14,1103,91.65,2,6,1,2017
KC Sangakkara,SL,27,23,4,1010,101,53.15,1308,77.21,1,10,0,2004
A Jadeja,INDIA,36,34,13,1004,116*,47.8,1392,72.12,2,6,1,1998
TM Dilshan,SL,19,19,1,1000,160,55.55,969,103.19,4,2,1,2009
V Kohli,INDIA,25,24,3,995,118,47.38,1169,85.11,3,7,3,2010
TM Dilshan,SL,25,25,1,990,101,41.25,1160,85.34,1,7,0,2014
JH Kallis,SA,27,24,7,987,128*,58.05,1278,77.23,1,7,2,2007
GC Smith,SA,22,22,2,984,134*,49.2,1138,86.46,5,2,1,2005
JE Root,ENG,19,18,4,983,133*,70.21,1067,92.12,2,7,0,2017
CH Gayle,WI,21,21,2,981,153*,51.63,1257,78.04,3,6,2,2003
MJ Clarke,AUS,31,26,5,981,130,46.71,1210,81.07,1,7,3,2007
R Dravid,INDIA,31,29,1,980,85,35,1536,63.8,0,9,0,2000
SR Tendulkar,INDIA,21,20,2,972,175,54,1034,94,3,3,0,2009
LRPL Taylor,NZ,20,20,4,968,107,60.5,1182,81.89,2,7,0,2017
EJG Morgan,ENG,25,23,1,967,121,43.95,1031,93.79,2,7,5,2015
AB de Villiers,SA,16,16,4,964,114*,80.33,944,102.11,5,4,0,2010
Misbah-ul-Haq,PAK,31,26,8,964,93*,53.55,1416,68.07,0,9,1,2011
RR Sarwan,WI,28,25,3,963,115*,43.77,1278,75.35,1,8,1,2006
S Chanderpaul,WI,33,31,6,960,150,38.4,1323,72.56,1,4,1,1999
ADR Campbell,ZIM,28,28,3,960,105*,38.4,1369,70.12,1,6,1,2000
S Dhawan,INDIA,22,22,2,960,132*,48,947,101.37,3,6,1,2017
MG Bevan,AUS,25,22,8,959,101*,68.5,1174,81.68,1,8,0,1998
Q de Kock,SA,19,19,1,956,168*,53.11,1008,94.84,2,7,1,2017
ST Jayasuriya,SL,30,29,1,955,134,34.1,849,112.48,2,4,0,1996
MJ Clarke,AUS,27,25,7,954,103*,53,1154,82.66,1,8,1,2005
R Dravid,INDIA,31,26,2,951,107,39.62,1493,63.69,1,8,0,1997
AC Hudson,SA,24,24,1,950,161,41.3,1175,80.85,1,7,2,1996
ME Trescothick,ENG,24,24,0,950,121,39.58,937,101.38,3,4,3,2002
MG Bevan,AUS,34,28,14,949,77*,67.78,1239,76.59,0,8,2,1999
S Chanderpaul,WI,27,27,4,948,101,41.21,1254,75.59,1,8,1,2006
SC Ganguly,INDIA,31,30,1,947,90,32.65,1355,69.88,0,7,2,2004
ML Hayden,AUS,23,23,0,946,126,41.13,1259,75.13,2,6,2,2004
JE Root,ENG,24,24,8,946,113*,59.12,1127,83.93,3,5,1,2018
JH Kallis,SA,26,25,2,944,100,41.04,1415,66.71,2,8,2,1999
A Flower,ZIM,32,32,2,943,120*,31.43,1351,69.8,1,6,1,2000
Javed Miandad,PAK,25,24,6,942,115*,52.33,1493,63.09,1,8,0,1992
MS Atapattu,SL,21,21,4,942,119*,55.41,1319,71.41,3,6,2,2000
KC Sangakkara,SL,27,26,2,942,128,39.25,1251,75.29,4,2,1,2008
ME Waugh,AUS,29,29,5,939,121*,39.12,1273,73.76,2,5,2,1994
A Jadeja,INDIA,39,32,3,937,119,32.31,1319,71.03,1,6,1,1997
AC Gilchrist,AUS,30,29,2,934,149,34.59,912,102.41,1,7,2,2007
WJ Cronje,SA,30,27,3,933,90,38.87,1201,77.68,0,8,1,1996
M Azharuddin,INDIA,32,31,7,931,94,38.79,1279,72.79,0,6,1,1996
GW Flower,ZIM,23,23,1,928,112,42.18,1317,70.46,2,6,1,1998
SP Fleming,NZ,22,21,2,921,115*,48.47,1161,79.32,2,4,2,2004
TM Dilshan,SL,20,20,2,921,110,51.16,931,98.92,3,4,1,2010
R Dravid,INDIA,27,27,1,919,105,35.34,1255,73.22,1,8,2,2006
KC Sangakkara,SL,27,27,1,919,90,35.34,1144,80.33,0,8,1,2009
R Dravid,INDIA,28,24,5,913,109*,48.05,1191,76.65,1,7,0,2002
Saeed Anwar,PAK,26,25,1,912,113*,38,1170,77.94,2,6,2,1999
S Chanderpaul,WI,20,18,6,912,149*,76,1291,70.64,4,4,0,2007
Inzamam-ul-Haq,PAK,26,22,1,911,123,43.38,1098,82.96,2,6,2,2004
ST Jayasuriya,SL,21,21,0,910,189,43.33,1035,87.92,2,6,1,2000
F du Plessis,SA,19,18,3,905,185,60.33,980,92.34,2,6,1,2017
Saleem Malik,PAK,35,30,9,904,73*,43.04,1215,74.4,0,6,2,1996
SR Tendulkar,INDIA,17,16,3,904,146,69.53,990,91.31,4,3,1,2001
Inzamam-ul-Haq,PAK,28,27,5,901,137*,40.95,1309,68.83,1,8,0,1994
MJ Clarke,AUS,24,22,6,900,101,56.25,1130,79.64,1,6,0,2011
Yasir Hameed,PAK,19,19,1,898,127*,49.88,1303,68.91,2,7,0,2003
BRM Taylor,ZIM,21,21,0,898,138,42.76,1025,87.6,2,4,1,2018
S Dhawan,INDIA,19,19,1,897,127,49.83,877,102.28,3,2,0,2018
Shoaib Malik,PAK,27,27,3,895,143,37.29,1094,81.8,2,6,4,2004
MS Dhoni,INDIA,27,24,6,895,183*,49.72,868,103.11,2,3,1,2005
JJ Roy,ENG,22,22,0,894,180,40.63,851,105.05,3,1,3,2018
V Sehwag,INDIA,18,18,0,893,119,49.61,744,120.02,1,8,0,2008
Yuvraj Singh,INDIA,27,27,4,893,138*,38.82,891,100.22,2,3,2,2008
SC Williams,ZIM,26,25,2,893,102,38.82,1019,87.63,1,7,1,2015
AC Gilchrist,AUS,27,27,2,892,121*,35.68,860,103.72,2,3,4,2005
HM Amla,SA,18,18,1,892,122*,52.47,1107,80.57,5,2,0,2014
Inzamam-ul-Haq,PAK,30,27,4,891,85,38.73,1318,67.6,0,7,1,1997
NJ Astle,NZ,22,22,1,891,104*,42.42,1279,69.66,1,7,0,1998
KP Pietersen,ENG,25,25,4,889,104,42.33,1130,78.67,2,7,2,2007
BC Lara,WI,21,21,2,888,116,46.73,1056,84.09,3,4,0,2003
Saeed Anwar,PAK,22,21,2,886,194,46.63,1002,88.42,3,3,2,1997
NS Sidhu,INDIA,22,21,3,885,114*,49.16,1236,71.6,2,5,1,1994
Mohammad Yousuf,PAK,26,25,2,885,105,38.47,1085,81.56,1,8,1,2005
F du Plessis,SA,20,19,4,884,133*,58.93,1066,82.92,2,8,1,2015
RS Kaluwitharana,SL,30,29,3,882,99,33.92,1159,76.1,0,9,2,1999
RT Ponting,AUS,28,27,4,882,129,38.34,1064,82.89,2,4,3,2002
MG Bevan,AUS,23,22,2,881,107,44.05,1291,68.24,2,5,0,2000
HH Gibbs,SA,26,21,2,880,119,46.31,947,92.92,3,6,2,2007
